song,artist,genres
galar mine,OmarCameUp,['anime rap']
CANCELLED,Bry Greatah,"['philly drill', 'philly rap']"
A Simple Way Of Thinking,Tanner Sparks,['texas country']
She Is Coming to Cry on the Grave,Angel 7,"['ukrainian metal', 'unblack metal']"
Come Down,TWERL,['traprun']
Nobody Else (feat Bushy B & Majornine),Ice Billion Berg,['miami hip hop']
SHQIPTAR VETIT KUSH I THOTE,Fran Kodra & Ndue Shytani,['cifteli']
Pull the Trigger,Tetrarch,['atlanta punk']
Halfpace,Hakobune,"['drift', 'drone', 'j-ambient', 'nu age', 'warm drone']"
Sing for Joy! (After Handel) [Live],Florida All-State Middle School Treble Chorus,['school choir']
don't leave,owlh,['lo-fi cover']
SMOKY (Live),Char,"['classic city pop', 'japanese blues']"
Hey Up There (feat Ty Dolla $ign),Buddy,"['alternative r&b', 'cali rap', 'canadian hip hop']"
She Said Give Up,undergrads,['columbus ohio indie']
The Vengeance in Me,Serpentine Dominion,['melodic deathcore']
Christine Zero,My Favorite,['twee pop']
Sleepy Eyes,Buster Dyson,['instrumental lullaby']
Binaural Beats For Anxiety,Binaural Landscapes,['binaural']
Breakdown,Ego Mackey,['glitchcore']
Get It - Chopped & Screwed,Big Jade,['trap queen']
La Chancla,Veronique Medrano,['new tejano']
The Storyteller 71,Sean Softley,['irish dance']
PERRYTH3PLATYPUS,83HADES,"['dark trap', 'scream rap']"
Way You Move,Juhovah,['south carolina hip hop']
The First Step Toward Giving Up,The Seafloor Cinema,"['progressive post-hardcore', 'sacramento indie']"
Song for a Winter's Night,Audrey Assad,['roots worship']
Go Crazy,Maine Musik,['baton rouge rap']
 - CINEMA SESSIONS,,['taiwan indie']
Truth Be Told,Toy Cars,['new jersey indie']
Background Music For Sleeping,Binaural Beats,"['binaural', 'brain waves', 'sleep']"
Blissful Myth,Rudimentary Peni,"['anarcho-punk', 'crust punk', 'hardcore punk']"
"El Chapo (Remix) [feat 2 Milly, Dave East, NORE, Smoke DZA & Cory Gunz]",Ron Browz,['nyc rap']
NA3NA3,223Jerm,['dark trap']
Kooler Than Jesus - Mylod & DPL Remix 2K18,My Life With The Thrill Kill Kult,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
No Sleep - Intro,Gucci Mane,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Wretched and Godless,Impending Doom,"['christian deathcore', 'christian metal', 'deathcore', 'melodic metalcore']"
Out My Face (feat Solo Bellafonte & Ku Crush),Band$,['bay area hip hop']
Train Your Brain,Reiki Music Zone,['reiki']
Om Gajanan Siddhivinayak - Zee Music Devotional,Akriti Kakar,"['filmi', 'modern bollywood']"
Traditional Cranial Nerve Examination Role Play Pt7,The ASMR Ryan,['asmr']
Paid in Sin,I AM,"['blackened deathcore', 'deathcore', 'metallic hardcore', 'texas death metal']"
Not Gone Jaws,Benny,['cali rap']
Get Up,The Blow,['olympia wa indie']
Peaceful and Tranquil Music for Relaxation and Baby Massage,Relaxation Meditation Songs Divine,['sleep']
Let's Fight,Nihilist Cheerleader,['atlanta indie']
Annex,FleshBurner,['progressive deathcore']
Bottle of Wine (B-Side),Nine Days,['pop rock']
Massage Music,Just Relax Music Universe,['subliminal product']
Pennies,BC & The Big Rig,"['red dirt', 'tulsa indie']"
Wheels Fall Off,Rayy Dubb,['florida rap']
Te Vas ngel Mo,South TX Homies,"['new tejano', 'tejano', 'tex-mex']"
Hallelujah (feat Community Partners),Gay Men's Chorus of Los Angeles,"['gay chorus', ""men's choir""]"
Christmas Time Is HereO Christmas Tree - Medley,Jim Brickman,"['new age', 'new age piano']"
stuck inda #photoshop,Octi,"['scenecore', 'sigilkore']"
The Spontaneous Overflow of Powerful Feelings,Altus,"['deep ambient', 'drift']"
Breaker,Wander,['american post-rock']
Anomaly,Merciful Nuns,"['corrosion', 'dark post-punk', 'dark wave', 'gothic rock', 'modern goth']"
Drahem El Zwag,Cheb Mustapha,['rai algerien']
"Boost Your Sex Drive (Binaural Beats & Isochronic Tones Moon, Synodic - 21042 Hz & Earth-Year - 13610 Hz)",The Sacred Cosmos,['tone']
,Harumi Fuuki,['japanese soundtrack']
Two Birds,Yung Sham,['lo-fi indie']
Colorado,C Lanzbom,['judaica']
Carve My Face,Twiztid,"['horrorcore', 'rap rock']"
GARLIK ALOE VERA,2shanez,['sigilkore']
Dancing with a Monster,Richard Band,['classic soundtrack']
Countdown,Austin Gatus,['san diego indie']
Coming from the Man,This Uni,"['oc indie', 'socal indie']"
Studio Gangstas,Spice 1,"['g funk', 'west coast rap']"
"If You Met Her - Live Session, Los Angeles, CA, 2018",Jam in the Van,['west coast reggae']
Body Yo Body (feat Paula Deanda & Kap G),Baby Bash,"['chicano rap', 'latin hip hop', 'pop rap', 'southern hip hop', 'texas latin rap', 'urban contemporary']"
Shot Ya,KXNG Crooked,"['cali rap', 'detroit hip hop']"
Fraud Bible,Kasher Quon,"['detroit hip hop', 'detroit trap', 'scam rap']"
"String Quartet No 6, Op 80, MWV R 37 III Adagio",Calidore String Quartet,['string quartet']
Utopia (Born Dirty Remix),Dombresky,"['bass house', 'electro house', 'house', 'tech house']"
Rain Sound Beach Sky Fall,Ocean Waves For Sleep,"['environmental', 'sleep']"
Hela'r SgyfarnogFenyw Fwyn,Osian Ellis,"['classical harp', 'harp']"
Waltz #2,Go Outside,['tempe indie']
Celestial Decay,Degradations,['atlanta metal']
The Answer,Divide Music,['anime rap']
Synergy,Roadrunner Glockboyz Tez,"['detroit hip hop', 'detroit trap']"
Mach Shoin Lechtig,Yisroel Adler,['chasidic pop']
Walk Alone,Radio Days,"['beatlesque', 'modern power pop', 'underground power pop']"
theres nobody else,Gill Chang,"['future bass', 'pop edm', 'vapor twitch']"
Cam'ron Voice (Remix) (feat Cam'ron),Uncle Murda,"['battle rap', 'nyc rap']"
JUMP SHIP,2shanez,['sigilkore']
First Things First,Young Lyric,['trap queen']
Back Again,Kennedy Rd,['canadian contemporary r&b']
Se Acabo El Romance,Los Rehenes,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno']"
Necrosis,Agony Reigns,['minnesota metal']
I Wish,Spiritual Tony,['high vibe']
get home safely,boyband,['indie hip hop']
Pestilence,XaeboR,"['brostep', 'dubstep', 'gaming dubstep', 'riddim dubstep']"
Point Of No Return,Sarah Hobbs,['texas country']
Simple Man (Acoustic Piano Version),J2,['rebel blues']
A Fool (Remastered),River Ratts,['chicano punk']
Bionic Man,DJFresh,['west coast trap']
You Are Loved,Brendan Abernathy,['athens indie']
Dancin' In September - Original Mix,The Pharmax Boys,['electronica peruana']
The Flower (feat Victoria Canal),Michael Franti & Spearhead,['reggae fusion']
Lil Boy,Battz,['christian trap']
Man in the Mirror,The UVM Top Cats,['college a cappella']
Jumpy Jumpyish (Live),Jon Snodgrass,['acoustic rock']
